Gene_name	Chr	Start	End	Strand	meRIP_TKO	RNAPII_TKOmean_GB	RNAPII_TKOmean_PR	PausIndex_TKO	cheRNA_TKO_mean	TK0_Pull
Ncoa2	chr1	13137104	13376083	-	0.496422678951142	5.50870543002669e-07	2.40178897317578e-06	4.35998802928212	7.00923694154406e-07	1.26
Tram1	chr1	13562692	13591910	-	0.31469104273827	5.80336656981499e-07	2.43274481223214e-06	4.19195441639954	1.1045600523168e-06	3.52
Lactb2	chr1	13623897	13662509	-	0.314802586607501	8.05004133239901e-07	3.63665700943912e-06	4.51756315188428	1.904517073826e-06	5.68
Eya1	chr1	14166957	14312199	-	0.878435645461889	3.97371214599017e-07	9.89502013647434e-07	2.49012001195389	1.75673052438945e-07	2.38
Terf1	chr1	15803645	15846052	+	0.695021257214833	9.4634019364243e-07	3.07177559529285e-06	3.24595279364569	2.80799683476877e-06	4
Rdh10	chr1	16103881	16134550	+	0.347526141555622	5.60750871242608e-07	8.76831673088224e-07	1.56367420552587	6.32033859906068e-07	0.92
Ube2w	chr1	16538787	16621338	-	0.607408665561996	5.4594644993979e-07	4.18763192748876e-06	7.67040783569633	6.97359849506776e-07	3.7
Jph1	chr1	16992937	17099889	-	0.664283677593662	4.24119006692841e-07	1.02994206307514e-06	2.42842703774663	1.96856882136533e-07	2.72
Paqr8	chr1	20888621	20940756	+	0.723238279025928	5.36982113644108e-07	1.90944379243106e-06	3.55587969117454	3.02445347242428e-07	5.8
Tram2	chr1	20999396	21081225	-	0.471160998142852	4.28933110216176e-07	2.90261711331902e-06	6.76706237915777	2.82166013773452e-07	2.48
Kcnq5	chr1	21396398	21964650	-	1.12678644253806	3.30406099601349e-07	3.17373795640055e-07	0.960556708919665	4.75530863674959e-08	1.04
Fam135a	chr1	24008757	24102341	-	0.846388148739549	4.5204567419211e-07	3.92276902375277e-06	8.67781564498652	7.34352460574636e-07	0.9
Lmbrd1	chr1	24676543	24768301	+	0.85280018849094	4.08708299015488e-07	2.05459968339685e-06	5.02705643204713	4.92031111046615e-07	1.42
Phf3	chr1	30800341	30865256	-	0.708056222859363	8.08169439436996e-07	9.31790103152634e-07	1.15296379407981	2.91435626130225e-06	1.52
Prim2	chr1	33451807	33671794	-	0.411698673887845	5.3355037415255e-07	4.14780376260114e-06	7.77396842648492	9.89328118249284e-07	3.02
Rab23	chr1	33717895	33744564	+	0.491121356074955	7.83188077013274e-07	2.86370677524153e-06	3.65647391640896	9.03260008396625e-07	3.98
Zfp451	chr1	33759540	33816595	-	0.69200204329333	7.7720301438906e-07	2.81937290046595e-06	3.6275887358494	1.73242205481015e-06	4.08
Dst	chr1	33906224	34310662	+	0.530380068549878	7.60136414975283e-07	1.48092936758202e-06	1.94824157665197	2.37176965866559e-06	2.22
Fam168b	chr1	34811217	34845050	-	0.184776716209214	8.51272380279207e-07	4.08589208448842e-06	4.79974703648707	1.87470946671495e-06	3.94
Plekhb2	chr1	34847958	34881585	+	0.244543964160059	4.6548599921875e-07	1.08092324362898e-06	2.32213910932477	2.24198866819344e-07	4.84
Hs6st1	chr1	36066399	36108446	+	0.345773604634723	1.4875557100791e-06	4.12602619164608e-06	2.77369523957303	3.84988814490211e-06	3.22
Uggt1	chr1	36138027	36246302	-	0.30963047778034	6.88660110979804e-07	2.87341350372023e-06	4.17246978285417	1.61784810734422e-06	3.5
Kansl3	chr1	36333729	36371181	-	0.381644502494628	7.14680718213195e-07	2.95757554338343e-06	4.13831724854393	1.25041552518095e-06	3.02
Cnnm4	chr1	36469596	36510776	+	0.522415608840943	4.76808167624077e-07	1.7852310697729e-06	3.74412854265618	1.50144795752815e-07	2.22
Fam178b	chr1	36560695	36685183	-	0.645609233589117	4.90789454516987e-07	8.77443557628311e-07	1.78782072343395	1.46035032742295e-07	2.86
Tmem131	chr1	36790188	36941527	-	0.339317849233004	9.11013351517963e-07	3.23000357970782e-06	3.5455063027626	2.85433587733648e-06	4.2
Inpp4a	chr1	37297837	37412740	+	0.34610918332154	4.29041938674264e-07	1.31811224911641e-06	3.07222238737165	2.88335482254975e-07	1.46
Mgat4a	chr1	37437339	37543016	-	0.567304383119607	4.68803725744163e-07	3.90549716268567e-06	8.33077244957091	3.23409812530832e-07	3
Tsga10	chr1	37752571	37867298	-	0.757198770794585	4.04460986226584e-07	2.55818130397048e-06	6.32491486468699	1.25707088580516e-07	2.42
Eif5b	chr1	37996009	38057579	+	0.612731987567947	1.032861206252e-06	3.37095970305568e-06	3.2637102474669	1.12477738188014e-06	3.22
Rev1	chr1	38050785	38131662	-	0.40703493284996	1.12269542024316e-06	3.9538917111345e-06	3.52178484016452	4.26650131103927e-06	4.08
Aff3	chr1	38173990	38629244	-	0.571103264035693	4.55202238121123e-07	1.37704792869138e-06	3.02513435429324	4.64647222943855e-07	0.64
Npas2	chr1	39192271	39365240	+	0.478373844177554	3.89472536955681e-07	7.97258767475678e-07	2.04702178414803	1.79524642856381e-08	1.82
Tbc1d8	chr1	39369494	39480747	-	0.299504304524107	7.21544550724945e-07	3.60180734503488e-06	4.99180174171657	3.23366640808451e-07	3.58
Rnf149	chr1	39549295	39579347	-	0.328617660767263	6.99545381081198e-07	4.79409373598021e-06	6.85315615774718	1.41371044646139e-06	3.94
Map4k4	chr1	39898912	40028310	+	0.353937198430114	6.90730234595692e-07	1.90310242892284e-06	2.75520359990726	1.45802306617339e-06	4.02
Mrps9	chr1	42849232	42907683	+	0.396173195638894	6.42973413265274e-07	3.16770253516237e-06	4.92664621866015	2.04977263612868e-06	3.72
Tgfbrap1	chr1	43045268	43100622	-	0.448524071928676	4.42806165375949e-07	3.53767064686917e-06	7.98920819872875	2.44969137784285e-07	4.52
Nck2	chr1	43443750	43572518	+	0.29704574721087	4.70125530302269e-07	2.34407706268098e-06	4.98606629844979	6.2770296171269e-07	2.86
Uxs1	chr1	43748230	43829708	-	0.865516266617946	5.3531312717586e-07	3.54707143307783e-06	6.6261618723812	9.12836114151491e-07	1.04
Tpp2	chr1	43931993	44005000	+	0.617426284268931	7.3637523237562e-07	4.11531821219457e-06	5.58861573727588	2.01001367739491e-06	3.68
Bivm	chr1	44117967	44146771	+	1.2633625615061	4.78297473572172e-07	1.63823952518685e-06	3.42514777038572	2.2851172504346e-07	2.96
Ercc5	chr1	44145743	44183260	+	0.548179773299723	6.90515070746301e-07	3.95372486280913e-06	5.72576187010081	9.34635124125227e-07	3.58
Wdr75	chr1	45793500	45825613	+	0.391055929832278	7.97477698416241e-07	3.04226604342402e-06	3.8148603396256	2.58338889971322e-06	4
Dnah7b	chr1	46064737	46375550	+	0.721473094501831	2.92103505868621e-07	7.73562118737672e-07	2.64824660846623	4.58792283787746e-08	1.12
Slc39a10	chr1	46805543	46855509	-	1.55255646832713	7.43960534751309e-07	4.81267279029017e-06	6.46898936903817	1.57214952054581e-06	3.56
Tmeff2	chr1	50925522	51189270	+	1.44108032828952	3.45132592516855e-07	1.26162410770178e-06	3.6554765764122	3.24057079980154e-08	1.16
Myo1b	chr1	51747757	51917978	-	0.33297843075066	5.3710376567185e-07	1.45937431473431e-06	2.71711800960623	7.34758614796909e-07	2.56
Stat1	chr1	52117437	52163865	+	0.307009520544841	5.02871594245971e-07	2.24019562379034e-06	4.45480645441784	3.43173275206419e-07	3.78
Gls	chr1	52161448	52235232	-	0.734115422453018	7.89863604163358e-07	6.32792336189902e-06	8.0114127661341	3.14910155566702e-06	3.86
Nab1	chr1	52453848	52502448	-	0.6047545558413	4.31953073762879e-07	7.28616359422005e-07	1.68679517215794	1.31792940460104e-07	3.64
Tmem194b	chr1	52628704	52653919	+	0.374585041046738	6.69035173174137e-07	2.95329235160282e-06	4.41425573724527	1.02414113339683e-06	3.6
Inpp1	chr1	52787417	52819688	-	0.458677908263687	3.94523330273975e-07	7.59572198478365e-07	1.92529095288454	8.08035371732929e-08	2.76
Hibch	chr1	52843037	52922986	+	0.511234104976709	4.89448764598838e-07	1.99902936879235e-06	4.08424642859359	3.00283150946951e-07	2.58
1700019D03Rik	chr1	52923126	52954840	-	0.377390556224677	8.32746714982487e-07	3.31714161790876e-06	3.98337400583864	3.52408603615543e-06	2.34
1700019A02Rik	chr1	53156576	53189617	-	1.09225543379253	4.4352335952589e-07	1.09246562572794e-06	2.46315239606713	3.01518010954917e-07	2.26
Pms1	chr1	53187186	53299028	-	0.862508174011403	4.76689970863046e-07	3.6734257516263e-06	7.70611083966288	6.53975991515883e-07	3.66
Stk17b	chr1	53753511	53787215	-	0.508594392429255	6.08697750286157e-07	3.12734590989735e-06	5.137764856905	1.11591547444558e-06	0.92
Hecw2	chr1	53804873	54197034	-	0.55480974134794	3.78738757731477e-07	8.98386725935928e-07	2.37204856275332	4.66566280500807e-08	3.08
Ccdc150	chr1	54248682	54370727	+	1.0623631800655	3.79740199345373e-07	1.65979457803455e-06	4.37086877000602	5.92598277363189e-08	0.94
Gtf3c3	chr1	54393876	54441026	-	0.432716778508371	5.35124791992718e-07	2.29178868888427e-06	4.28271820550496	1.43353100610673e-06	4.16
Pgap1	chr1	54470999	54559684	-	0.661085068108874	5.66391125802558e-07	2.93632643280577e-06	5.18427337406653	1.34051119151198e-06	1.78
Sf3b1	chr1	54983168	55029478	-	0.422838589248545	1.13344602515171e-06	9.22228003392687e-06	8.13649686820551	3.93457652208447e-06	3.92
Mob4	chr1	55129244	55156899	+	0.626391782210506	7.87936439858817e-07	4.35036562179169e-06	5.52121389711484	8.79322052980548e-07	4.32
Boll	chr1	55298068	55365469	-	1.27888202676512	4.25917681238981e-07	8.54664735700434e-07	2.00664300485071	6.23875548131112e-08	1.86
Spats2l	chr1	57772860	57950397	+	0.807945714284133	3.98878231814548e-07	9.35461410393154e-07	2.34523053849698	6.36402690031784e-08	2.62
Sgol2a	chr1	57983339	58028277	+	1.00806196621567	9.91989262346536e-07	8.75607904008051e-07	0.882678812406511	2.74908152529483e-06	0.92
Aox1	chr1	58027968	58108410	+	0.420051349788084	4.16154053493342e-07	1.76756984227307e-06	4.24739306858956	5.63894325444883e-08	2
Orc2	chr1	58460770	58507109	-	0.709829515673666	8.67571334228118e-07	5.06774554138477e-06	5.8413012756969	1.7993832466561e-06	3.96
Fam126b	chr1	58520805	58588333	-	0.881662504368703	6.08279631719528e-07	3.19323483752063e-06	5.24961657600431	8.06556601352287e-07	3.9
Cflar	chr1	58709490	58761209	+	0.419858017694589	5.29327593806646e-07	2.01271334678162e-06	3.80239641826953	3.28826028171544e-07	4.38
Trak2	chr1	58898449	58975482	-	0.470538037571163	4.91960901096893e-07	4.30183197939819e-06	8.74425583375971	9.09625081648996e-07	3.46
Als2	chr1	59160755	59239231	-	0.406033838394285	5.9186853178927e-07	4.04942928457128e-06	6.8417715541144	8.89769401132894e-07	2.84
Sumo1	chr1	59637433	59672834	-	1.04021976272494	9.44774196891229e-07	5.0158465340208e-06	5.30904267974866	1.88900679392503e-06	3.26
Bmpr2	chr1	59762278	59880081	+	0.882711812977596	5.49038517617097e-07	9.6794696079973e-07	1.76298552786561	5.64960296281709e-07	2.52
Fam117b	chr1	59911005	59987348	+	0.619875159343817	5.75491113765898e-07	4.28517200287118e-06	7.44611324200973	6.08338143326783e-07	3.14
Carf	chr1	60096246	60155953	+	0.594054159987385	4.99066649076188e-07	3.54248229902718e-06	7.0982148488275	3.3447596580126e-07	1.32
Nbeal1	chr1	60178598	60336705	+	0.814387544515735	5.88241940719147e-07	4.18763192748876e-06	7.1188938387651	1.01984613545877e-06	3.1
Cyp20a1	chr1	60341299	60390060	+	0.468214116059226	5.62064412641865e-07	4.19427923326703e-06	7.46227503277197	4.66910348211508e-07	3.26
Abi2	chr1	60407618	60483163	+	0.645400838025042	7.12634085717216e-07	3.17084538202548e-06	4.44947195984072	1.117576315237e-06	3.18
Raph1	chr1	60481184	60568765	-	0.83612301542406	8.28485761026957e-07	3.80559297330559e-06	4.59343196024073	1.89741750784102e-06	4.02
Nrp2	chr1	62701316	62820692	+	0.470541617494273	8.0585631252607e-07	1.88574714369306e-06	2.34005382148329	1.37476125165796e-06	1.82
Ino80d	chr1	63045800	63116267	-	0.68920991782106	7.17355959474812e-07	2.44918227065179e-06	3.41417986189852	1.21417027676358e-06	4.54
Ndufs1	chr1	63141591	63178822	-	0.420065152220337	7.79011269083345e-07	4.52227758419591e-06	5.80515040497069	1.31127539170661e-06	3.9
Zdbf2	chr1	63198357	63316575	+	1.17359090903637	9.62544999274868e-07	4.05454687899933e-06	4.21231930149117	3.02992550337354e-06	3.74
Adam23	chr1	63443890	63598101	+	0.862726789190423	5.61644898414198e-07	2.22804135715129e-06	3.96699295843718	1.41589735176891e-06	2.46
Fastkd2	chr1	63728624	63755385	+	0.544076633610956	6.07377479561442e-07	1.4195461498467e-06	2.33717284162674	1.45104001159696e-06	3.92
Klf7	chr1	64033662	64123389	-	0.538780140168277	4.56401014040534e-07	3.31232996575075e-06	7.25749913749441	2.51153742981873e-07	3.46
Creb1	chr1	64530803	64606548	+	0.627377065114243	6.36073573316225e-07	3.4830181590748e-06	5.47581019742069	9.77666452485607e-07	3.92
Ccnyl1	chr1	64689344	64727644	+	0.579086916746048	6.23782366532159e-07	3.94318373168298e-06	6.32140942618276	9.55998389435619e-07	3.42
Plekhm3	chr1	64787120	64958824	-	0.618580081139703	4.97567109211821e-07	2.21864057094264e-06	4.45897755271065	4.4395903909461e-07	2.84
Idh1	chr1	65156615	65188479	-	0.430954096998882	6.75570359250267e-07	3.3843377387749e-06	5.00960069137841	6.55551493350002e-07	5.14
Pikfyve	chr1	65184684	65280696	+	0.580675524053575	6.54524768639963e-07	3.47637085329654e-06	5.31128999215735	1.68261350253955e-06	3.76
Kansl1l	chr1	66717242	66819595	-	0.932717217130284	9.37233659537775e-07	5.37252003417107e-06	5.73231656748296	4.1811659794536e-07	1.4
Acadl	chr1	66828838	66865309	-	0.446551906149143	4.86074071791306e-07	1.44660816355518e-06	2.97610641568283	3.46427114858676e-07	2.66
Lancl1	chr1	66998516	67040872	-	0.244547802629128	5.38402398105876e-07	1.95775491671721e-06	3.63622993434777	5.72648722141396e-07	3.78
Ikzf2	chr1	69529206	69687960	-	0.793417034212497	3.49189131344809e-07	3.76309475215027e-07	1.07766663230832	7.40331916248829e-08	1.96
Spag16	chr1	69824969	70727132	+	0.963255244574247	3.20776569091695e-07	1.57204465529352e-06	4.90074652193236	5.48502497687157e-08	2.3
Bard1	chr1	71025534	71104972	-	0.556903308774893	6.59212061793043e-07	3.69008572815331e-06	5.59772179853074	2.37125626902037e-06	3.66
Atic	chr1	71555155	71581403	+	0.222261317601299	8.24777058591944e-07	2.59219656572727e-06	3.14290575704501	1.54574467166486e-06	3.6
Fn1	chr1	71583472	71655234	-	0.35619859619493	1.74705864182188e-06	7.56401516724253e-06	4.32957142145759	1.18440355583188e-05	4.12
Mreg	chr1	72157232	72214307	-	0.467831586210426	1.16950799075348e-06	4.45875277057029e-06	3.81250304044323	2.33534844629959e-06	3.76
Pecr	chr1	72257171	72286314	-	0.350825079347729	7.98128275309453e-07	2.18370748237571e-06	2.73603573501895	5.8681289974366e-07	2.5
Xrcc5	chr1	72305420	72396953	+	0.463841875365376	7.0763719385976e-07	3.84013669543979e-06	5.42670273518838	1.46468855041358e-06	1.7
Smarcal1	chr1	72581250	72638790	+	0.401845513343952	5.58458626006183e-07	3.19415266433076e-06	5.71958694088718	4.52006376737042e-07	2.12
Igfbp2	chr1	72822479	72854474	+	0.510095146566112	1.48088408077038e-06	3.56748614100804e-06	2.40902457345086	2.77309836843123e-06	3.26
Arpc2	chr1	74234549	74270213	+	0.494909897047697	8.29447470269984e-07	4.55301090514491e-06	5.48920946574581	1.21234978276632e-06	3.68
Pnkd	chr1	74283033	74355692	+	0.51481170368271	7.22421467632993e-07	2.696689889158e-06	3.73284849631293	3.50272762769072e-07	7.08
Vil1	chr1	74407383	74437560	+	0.398413685211064	6.6442093597409e-07	5.94696908285136e-07	0.895060459546276	3.37139274441838e-08	2.06
Cnot9	chr1	74504059	74532842	+	0.378721813852644	1.03361438090852e-06	6.58574959342402e-06	6.37157310798571	1.65229908880321e-06	3.82
Plcd4	chr1	74540888	74567977	+	0.641433401457153	5.55088458606323e-07	5.2299507753103e-07	0.942183303259681	4.17640102630237e-08	2.12
Stk36	chr1	74599454	74638894	+	0.572174041960325	4.5069269102386e-07	2.39658795458504e-06	5.31756561026228	3.24270298618459e-07	0.86
Ttll4	chr1	74659753	74699973	+	0.470253644265337	7.02628643577173e-07	2.04069318730023e-06	2.90436947874883	2.71888545053728e-06	3.58
Nhej1	chr1	74965345	75127226	-	0.829027200564571	2.73995947393e-07	3.38914939093291e-06	12.3693413102631	7.73073562167689e-08	1.32
Epha4	chr1	77365184	77517088	-	0.614577708954046	4.88981565185522e-07	1.70596410643039e-06	3.48881067895298	5.08039665833874e-07	4.96
Farsb	chr1	78415957	78490897	-	0.34912380659729	7.62639992847708e-07	3.70009839890205e-06	4.8516973062032	1.92679394123182e-06	3.98
Acsl3	chr1	78655824	78709743	+	0.620728829010745	7.27709947580302e-07	4.835145669948e-06	6.64433087114622	1.37707548930387e-06	2.44
Ap1s3	chr1	79604875	79673972	-	0.706972845096958	4.41500588480561e-07	3.09302470587051e-06	7.00570913510049	3.57304001942449e-07	0.8
Wdfy1	chr1	79700261	79763769	-	0.25351445726	4.104048544289e-07	1.68073774634217e-06	4.09531643742617	1.05358038564123e-06	1
Serpine2	chr1	79792320	79860665	-	0.428171845979126	4.35794750673318e-07	1.5371115667266e-06	3.52714566743108	3.35513460651843e-07	3.54
Cul3	chr1	80262922	80342690	-	0.973449230367567	7.33227666237676e-07	2.74591884025427e-06	3.74497440112166	2.03702080006002e-06	3.82
Rhbdd1	chr1	82314578	82447366	+	0.289867031732714	4.2788608365569e-07	3.50877297954043e-06	8.20025028522278	7.50860291476437e-07	1.46
Mff	chr1	82722889	82754390	+	0.381368478859749	6.81207101404757e-07	2.38718716837638e-06	3.50434862386728	1.81540085599329e-06	3.94
Agfg1	chr1	82837459	82903001	+	0.397813419981584	8.18013504290022e-07	3.31018836986045e-06	4.04661824346465	3.02842527294667e-06	3.9
Pid1	chr1	84034292	84286645	-	0.601248191907852	3.72070634322512e-07	1.02627075583462e-06	2.75826862204085	3.21169789987966e-07	1.58
Trip12	chr1	84719188	84841304	-	0.733424766477994	1.12081494904314e-06	4.86671339354445e-06	4.34212034528916	5.16434270535315e-06	3.3
Fbxo36	chr1	84837840	84902486	+	0.741349351142812	1.05861999460543e-06	5.10359645676183e-06	4.82099004625739	1.34251102306474e-07	3.42
Slc16a14	chr1	84904704	84937083	-	0.79410599323494	4.82402730501661e-07	1.22883261502516e-06	2.54731687307671	1.05544008995645e-07	1
C130026I21Rik	chr1	85244343	85272566	-	0.493875005883196	1.79607205724811e-06	2.30616797557631e-06	1.28400637728853	8.24341951177284e-08	2.84
Cab39	chr1	85791446	85853577	+	0.417587727893127	6.27544389948921e-07	2.70670255990674e-06	4.31316509757509	1.09110654247845e-06	3.52
Psmd1	chr1	86062618	86141295	+	0.460022806690654	7.74471794483445e-07	2.69577206234787e-06	3.4807879144855	1.41090898398857e-06	3.92
Armc9	chr1	86152779	86280284	+	0.404759764264519	5.77236976028443e-07	3.83830104181953e-06	6.64943723499515	4.16808836047823e-07	3.18
Dis3l2	chr1	86701803	87052097	+	0.746723373032129	4.3726711832963e-07	2.35500756023985e-06	5.38574125865222	3.38170445517995e-07	3.72
Eif4e2	chr1	87211913	87242488	+	0.33087810699896	1.15625687421931e-06	4.47099046137202e-06	3.86677957213511	2.72456156319068e-06	4.32
Gigyf2	chr1	87324997	87452810	+	0.44452304908459	8.45162597858678e-07	3.69375703539383e-06	4.37046912008697	2.20757515782967e-06	3.36
Atg16l1	chr1	87754010	87794428	+	0.412940717852459	8.2042607032013e-07	3.22541444565717e-06	3.93138950886655	2.96638750749659e-06	4.1
Dgkd	chr1	87851286	87946489	+	0.415476202639328	5.81779013553031e-07	3.67679111659678e-06	6.31991019088493	9.3034691073894e-07	9.3
Usp40	chr1	87943120	88010551	-	0.416922770910372	5.63864632011138e-07	1.68410311131265e-06	2.98671527828577	5.65106270103458e-07	3.32
Ugt1a9	chr1	88068778	88222002	+	0.444238681003334	4.96990481267078e-07	5.36984997790336e-07	1.08047340548916	1.82023231688279e-08	0.86
Sh3bp4	chr1	89068461	89155793	+	0.364889145531391	9.16171945620465e-07	4.04912334230124e-06	4.41961070916554	1.14354061102464e-06	7.48
Agap1	chr1	89452810	89897282	+	0.315615277698068	5.38929414351834e-07	3.44082588018953e-06	6.38455758501841	6.89182940576067e-07	3.32
Lrrfip1	chr1	90996726	91130944	+	0.385502293921781	5.25260484883048e-07	7.50171412269709e-07	1.42818931531988	3.31226920035552e-07	3.5
Rbm44	chr1	91143102	91172795	+	0.527754047229346	5.68742270823207e-07	2.51774125454278e-06	4.42685797012865	6.82685509801927e-07	1.88
Ube2f	chr1	91248318	91288025	+	0.446732195569319	5.79240025131224e-07	4.19642082915733e-06	7.24470106879553	7.28972718832681e-07	4.02
Scly	chr1	91296337	91323080	+	0.430799895113142	5.86373120988141e-07	2.28483544083596e-06	3.8965555532041	5.15546687715459e-07	3.22
Ilkap	chr1	91373830	91400783	-	0.234604837408378	7.39707556219527e-07	3.3244842323898e-06	4.49432239056806	1.57262964382802e-06	3.74
Traf3ip1	chr1	91492667	91531307	+	0.403707798189955	5.51529390993633e-07	2.68881881429956e-06	4.8752049450264	6.72871921154139e-07	1.46
Hdac4	chr1	91926778	92182341	-	0.225529236113898	6.33145277502577e-07	4.6501616140946e-06	7.34454125984644	1.33569887486674e-06	3.38
Ndufa10	chr1	92437707	92475758	-	0.318682466226807	6.69669918572166e-07	3.01375774252801e-06	4.50036302803295	1.1025791771793e-06	3.32
Gpc1	chr1	92829685	92862196	+	0.264097078984529	4.9457359543249e-07	2.28942457488661e-06	4.6290877556546	4.53246661249434e-07	3.14
Kif1a	chr1	93013454	93103874	-	0.253555388556815	4.17928385273604e-07	8.44346122681648e-07	2.02031293502326	1.60864718975182e-07	1.46
Sned1	chr1	93233896	93298448	+	0.369200780276829	4.81675870736829e-07	1.29472154264844e-06	2.68795183920648	7.82790872961975e-08	2.44
Pask	chr1	93307436	93344788	-	0.336563661231294	5.75130418523553e-07	1.6503937918259e-06	2.86959920510327	1.08852458921782e-06	1.34
Ppp1r7	chr1	93341644	93369618	+	0.599646414126835	7.2984340743081e-07	2.69791365823817e-06	3.69656508611258	9.27363374988351e-07	1.56
Hdlbp	chr1	93403939	93480917	-	0.449134599056734	7.30630182711048e-07	5.30104072152432e-06	7.25543626168643	1.86837380182203e-06	3.42
Sept2	chr1	93476992	93511733	+	0.448564818174271	8.96659012060811e-07	5.19746522490372e-06	5.79647910185866	2.32576984766982e-06	3.78
Farp2	chr1	93510103	93623976	+	0.423618351786875	5.07071426975083e-07	4.48153159249817e-06	8.83806768453232	1.54845275964487e-07	2
Thap4	chr1	93703390	93756838	-	0.575137802179357	6.20252287247408e-07	2.58738491356927e-06	4.17150402629182	5.29758107150206e-07	2.86
Atg4b	chr1	93753032	93791529	+	0.494607186474257	6.98025604214234e-07	2.47196109257967e-06	3.54136163151544	7.37196427945413e-07	3.96
D2hgdh	chr1	93823239	93854361	+	0.599397697009237	3.83756711803206e-07	6.08430956874069e-06	15.8546010574032	4.99889569353133e-07	1.4
Ppip5k2	chr1	97704042	97772092	-	0.65526983793555	6.02740528334638e-07	3.66883661757565e-06	6.08692537684928	1.51874097579979e-06	4.18
Gin1	chr1	97768171	97795708	+	1.28336676847085	4.4782659692126e-07	3.74779763864811e-06	8.36885898339592	2.65274438337455e-07	1.94
Pam	chr1	97819093	98097632	-	0.719217513143505	3.79387784179319e-07	1.36550554659242e-06	3.59923435475458	1.43794826874939e-07	1.9
Rnf152	chr1	105274916	105358710	-	0.454130065177452	3.93084518405069e-07	7.52313008160012e-07	1.91387086729466	9.2526985352099e-08	2.6
Pign	chr1	105516421	105665676	-	0.817391258452671	4.63112119836081e-07	3.64185802802985e-06	7.86387976483727	8.90839852090252e-07	2.6
2310035C23Rik	chr1	105661860	105757131	+	0.703933703522669	6.34362813037314e-07	3.66524873449782e-06	5.77784299326863	1.56506577311512e-06	4.16
Zcchc2	chr1	105988405	106036077	+	0.338362351510899	6.49683315053253e-07	3.12375802681952e-06	4.80812413439227	9.1606095591021e-07	1.28
Phlpp1	chr1	106169868	106396245	+	0.521601729276174	4.26821784308349e-07	1.41259290179839e-06	3.30956139946664	4.05522531894667e-07	3.28
Bcl2	chr1	106536175	106716290	-	0.624664442331386	3.64720574599715e-07	1.14834188260248e-06	3.14855251547791	2.5932129761035e-08	1.02
Kdsr	chr1	106718409	106761742	-	0.407733412289534	6.02833023144064e-07	4.48979203378933e-06	7.44782031079337	1.41783227460337e-06	3.26
Vps4b	chr1	106768787	106798725	-	0.415123521171522	6.8013742352698e-07	3.55891975744683e-06	5.23264804190804	2.50167153942555e-06	3.88
Clasp1	chr1	118387057	118611462	+	0.479735449275223	6.87987166328862e-07	4.61278098736733e-06	6.70474859579342	8.13056415528715e-07	3.96
Tfcp2l1	chr1	118625944	118687168	+	0.278596644687141	1.27506461300263e-06	5.24805703902484e-06	4.11591458621557	4.45085044768497e-06	3.64
Gli2	chr1	118832060	119055619	-	0.585507662130926	5.91422907003009e-07	1.99207612074404e-06	3.36827690837803	7.43288033415688e-07	3.92
