Gene_name	Chr	Start	End	Strand	meRIP_WT	RNAPII_WTmean_GB	RNAPII_WTmean_PR	PausIndex_WT	cheRNA_WT_mean	WT_Pull
Jph1	chr1	16992937	17099889	-	1.10402975673902	4.21560397085999e-07	1.26252091568072e-06	2.99487552532873	4.29759806886013e-07	4.26
Paqr8	chr1	20888621	20940756	+	0.775116669539432	5.35864516191495e-07	2.25048838561851e-06	4.19973392082987	5.76148272720433e-07	5.72
Tram2	chr1	20999396	21081225	-	0.528583249972822	3.94641712611385e-07	2.46598226770913e-06	6.24866097248431	3.45478674280608e-07	3.34
Kcnq5	chr1	21396398	21964650	-	1.01290544135659	2.87838799631831e-07	3.96208542399822e-07	1.37649456190967	4.03989109240293e-08	3.66
Fam135a	chr1	24008757	24102341	-	0.821932585885135	4.34684936933561e-07	4.11960395366614e-06	9.47721810359349	1.06461486374462e-06	1.2
Lmbrd1	chr1	24676543	24768301	+	1.24151420199272	3.49412770205094e-07	1.42762892395585e-06	4.08579492706543	5.09514256815573e-07	2.8
Phf3	chr1	30800341	30865256	-	0.764138886830368	6.96795129428474e-07	8.33701573958678e-07	1.19648019733217	2.95618474958833e-06	4.76
Prim2	chr1	33451807	33671794	-	0.542497785442503	4.35848670898025e-07	3.11851153817797e-06	7.15503280474063	8.26443333603457e-07	2
Rab23	chr1	33717895	33744564	+	0.460491531261316	6.57581217812282e-07	2.53217366678801e-06	3.85073903906858	8.42805898861446e-07	3.58
Zfp451	chr1	33759540	33816595	-	0.665401857653676	6.82686700466046e-07	3.1464722085573e-06	4.60895489308539	1.5853899279263e-06	3.1
Dst	chr1	33906224	34310662	+	0.844553064919968	7.37863886781281e-07	1.50671644699479e-06	2.04199781827975	3.05586609794487e-06	2.92
Fam168b	chr1	34811217	34845050	-	0.225084709652774	7.52624042234787e-07	4.51743881291037e-06	6.00225153517102	2.12977057341508e-06	3.64
Plekhb2	chr1	34847958	34881585	+	0.330734231922721	4.11704195314641e-07	9.12132580587656e-07	2.21550470208487	3.0794981573304e-07	3.98
Hs6st1	chr1	36066399	36108446	+	0.399841221042238	1.08819143704123e-06	3.59902978653542e-06	3.30734985042807	3.30605316296146e-06	3.58
Uggt1	chr1	36138027	36246302	-	0.342530825546867	5.9243529619877e-07	2.80119164558776e-06	4.72826596180374	1.37334435793486e-06	3.8
Kansl3	chr1	36333729	36371181	-	0.369547710287185	6.38225544940323e-07	3.08915337254455e-06	4.84022207671647	1.36727694866547e-06	2.92
Cnnm4	chr1	36469596	36510776	+	0.717179213866094	3.89727601472284e-07	1.90032887211577e-06	4.87604384430779	1.18849027079239e-07	1
Fam178b	chr1	36560695	36685183	-	0.634280969928732	4.44646917634997e-07	9.03573301546001e-07	2.03211416903991	1.9033638962914e-07	2.78
Tmem131	chr1	36790188	36941527	-	0.461234080722189	1.15943678592116e-06	3.36359240749232e-06	2.90105717563548	4.80382944270602e-06	3.34
Inpp4a	chr1	37297837	37412740	+	0.374349701066056	3.64861274125461e-07	1.04269018867169e-06	2.85777160421018	2.86565121089972e-07	3.36
Mgat4a	chr1	37437339	37543016	-	0.589897878682879	4.30648859938008e-07	3.38299379883e-06	7.85557356245407	4.41741584741528e-07	2.98
Tsga10	chr1	37752571	37867298	-	0.985109260025341	3.2754587183189e-07	2.22632245454279e-06	6.79697912872927	1.01156110322868e-07	2.5
Eif5b	chr1	37996009	38057579	+	0.616144072647404	9.0280811756835e-07	3.62827354137367e-06	4.01887562901646	1.23717485318086e-06	3.12
Rev1	chr1	38050785	38131662	-	0.708764094094494	9.51872573401558e-07	3.30347858097142e-06	3.47050505843056	4.70388045761176e-06	3.4
Aff3	chr1	38173990	38629244	-	0.728019963391016	3.78391628811805e-07	1.28169348542807e-06	3.38721416605526	3.52374883200172e-07	2.84
Npas2	chr1	39192271	39365240	+	0.407996572586017	3.59312790147191e-07	7.6728135328948e-07	2.13541341786126	5.29189024434891e-08	3.92
Tbc1d8	chr1	39369494	39480747	-	0.399430663071314	7.88227750170895e-07	3.34473312176945e-06	4.24335875138154	5.7985192881655e-07	3.64
Rnf149	chr1	39549295	39579347	-	0.400052274832796	6.6225352052079e-07	5.20594592718538e-06	7.86095621370419	1.53231664322827e-06	3.66
Map4k4	chr1	39898912	40028310	+	0.445697269272629	7.91985497679487e-07	2.03824713721669e-06	2.57359149023403	2.12240988624068e-06	3.64
Mrps9	chr1	42849232	42907683	+	0.471487952009585	5.45208689504912e-07	3.05123592786949e-06	5.59645505767751	2.1304040560659e-06	3.72
Tgfbrap1	chr1	43045268	43100622	-	0.505275428817092	4.17022178569755e-07	3.94733416160343e-06	9.46552573088906	2.48334722444951e-07	3.66
Nck2	chr1	43443750	43572518	+	0.374459939359965	4.45481534785675e-07	2.04572220502875e-06	4.59215937202193	7.20533563504442e-07	3.72
Uxs1	chr1	43748230	43829708	-	0.740456278132833	4.8374431359845e-07	3.31537495613604e-06	6.85356884399078	9.78852095227624e-07	2.98
Tpp2	chr1	43931993	44005000	+	0.668457911236665	7.03160536560379e-07	4.0728984083591e-06	5.79227387856879	2.34071458381786e-06	3.7
Bivm	chr1	44117967	44146771	+	1.2109573686197	4.15334456308307e-07	1.78971476098421e-06	4.30909291006592	2.14201766841691e-07	3
Ercc5	chr1	44145743	44183260	+	0.859068100983772	5.77864507135662e-07	3.81711978590488e-06	6.60556192458582	1.13841433912075e-06	3.86
Wdr75	chr1	45793500	45825613	+	0.365896890737238	8.81280516245925e-07	3.2528638855656e-06	3.69106524608321	3.03672450573433e-06	3.64
Dnah7b	chr1	46064737	46375550	+	0.896290890966595	2.81293426201254e-07	8.54386049755274e-07	3.03734808627911	4.70585765367005e-08	1.6
Slc39a10	chr1	46805543	46855509	-	1.27573573679627	7.63932810984717e-07	6.59274800516284e-06	8.63001027101418	1.62059659707811e-06	3.1
Tmeff2	chr1	50925522	51189270	+	2.18220015724997	3.11009231790562e-07	8.40092430541129e-07	2.70118165208311	2.55890912359185e-08	2.68
Myo1b	chr1	51747757	51917978	-	0.494051356757377	4.54535485629285e-07	1.26078018804115e-06	2.7737772471068	6.49975388807519e-07	0.92
Stat1	chr1	52117437	52163865	+	0.343019828552844	4.08631914001179e-07	1.56500508344197e-06	3.82986504435739	2.11754699690083e-07	2.78
Gls	chr1	52161448	52235232	-	0.617150929089079	9.70689092263188e-07	7.00379227239161e-06	7.21527863887095	5.12733771606593e-06	3.62
Nab1	chr1	52453848	52502448	-	0.600386909061014	4.18281056793786e-07	9.63488254837587e-07	2.30344702249471	4.53567440135663e-07	2.92
Tmem194b	chr1	52628704	52653919	+	0.617832037158142	6.31686255327283e-07	2.15664960018478e-06	3.41411512756028	9.92604844595591e-07	3.24
Inpp1	chr1	52787417	52819688	-	0.420138346652386	3.99913374826652e-07	9.95556948545004e-07	2.4894314899484	1.89047515255786e-07	0.7
Hibch	chr1	52843037	52922986	+	0.787498831522259	5.56903209073444e-07	2.40324237554838e-06	4.31536815804457	3.57642732069277e-07	2.26
1700019D03Rik	chr1	52923126	52954840	-	0.537902372206107	8.72478745765e-07	3.37583201504242e-06	3.86924269666013	3.01495244068265e-06	2.28
1700019A02Rik	chr1	53156576	53189617	-	1.22229261235229	4.12355994220642e-07	8.68251974149778e-07	2.10558834191506	1.53280950634056e-07	1.94
Pms1	chr1	53187186	53299028	-	0.930026574970939	4.69736494121817e-07	3.78385247017271e-06	8.05526612797396	7.9586891537135e-07	2.92
Stk17b	chr1	53753511	53787215	-	0.623709487636526	6.22620032475444e-07	2.50758004089264e-06	4.02746444074868	1.42355795645497e-06	3.44
Hecw2	chr1	53804873	54197034	-	0.526849386814028	3.52138514475855e-07	5.89819326669086e-07	1.67496397702197	6.11654002483692e-08	1.12
Ccdc150	chr1	54248682	54370727	+	1.8598923922251	3.36276259229854e-07	1.51202309234764e-06	4.49637180992349	4.28506574931653e-08	3.02
Gtf3c3	chr1	54393876	54441026	-	0.504536500170741	5.07523508226212e-07	2.10866097041882e-06	4.15480452873713	1.58851694842011e-06	3.3
Pgap1	chr1	54470999	54559684	-	0.657518983276966	5.15541455803031e-07	2.23705015604364e-06	4.33922457808773	1.24247656415239e-06	2.34
Sf3b1	chr1	54983168	55029478	-	0.482731046966587	1.02896688766809e-06	7.70442458342157e-06	7.48753402636875	4.46892555062725e-06	3.7
Mob4	chr1	55129244	55156899	+	0.70701480859508	7.50227604606393e-07	4.54451414528941e-06	6.05751390296241	1.05138937717904e-06	3.8
Boll	chr1	55298068	55365469	-	1.34430446081379	3.76029921172859e-07	8.45399075893978e-07	2.24822288943691	4.29613909622321e-08	2.24
Spats2l	chr1	57772860	57950397	+	0.685126884524698	3.63468924682983e-07	8.61433422747687e-07	2.37003321122714	5.64581615418501e-08	1.02
Sgol2a	chr1	57983339	58028277	+	1.02290977717134	7.56293025564448e-07	4.89276400628427e-07	0.646940252110963	1.71154903557365e-06	5
Aox1	chr1	58027968	58108410	+	0.566411605837468	3.46877605142612e-07	1.36175080890145e-06	3.92573861417658	4.34890827131978e-08	5.42
Orc2	chr1	58460770	58507109	-	0.596528814936381	8.23950892986883e-07	4.41623937045975e-06	5.35983322313124	1.62896532452873e-06	3.24
Fam126b	chr1	58520805	58588333	-	0.737111211845991	5.33650595112912e-07	2.65200357337118e-06	4.96955048426407	7.38115514657119e-07	3.34
Cflar	chr1	58709490	58761209	+	0.459100242790149	5.02449870404569e-07	2.13011637342054e-06	4.23946048927306	4.47725608598293e-07	3.36
Trak2	chr1	58898449	58975482	-	0.654009431578395	4.53929697228375e-07	3.10324811852938e-06	6.83640690943407	9.58136435356739e-07	2.8
Als2	chr1	59160755	59239231	-	0.544265685922537	5.29616901441965e-07	3.46986967370547e-06	6.55165963219491	8.85476846483807e-07	3.22
Sumo1	chr1	59637433	59672834	-	0.915994889187318	9.26293325742784e-07	4.79002270942341e-06	5.17117264726305	1.96118437876096e-06	3.36
Bmpr2	chr1	59762278	59880081	+	0.906068407440958	5.00838178283458e-07	1.22286274336609e-06	2.44163244015713	6.98584191767867e-07	2.9
Fam117b	chr1	59911005	59987348	+	0.659335141756828	5.11718239153963e-07	3.79167077037024e-06	7.40968462769494	6.15884916637511e-07	2.86
Carf	chr1	60096246	60155953	+	0.868303083945625	4.44676734158381e-07	3.53877160085835e-06	7.95807679831961	3.42721050925942e-07	4.82
Nbeal1	chr1	60178598	60336705	+	0.94802833203507	5.47059631609032e-07	4.0426848530864e-06	7.38984311672917	1.27588800871496e-06	3.24
Cyp20a1	chr1	60341299	60390060	+	0.53060518777673	4.9989502651523e-07	3.42285084437395e-06	6.84713922487818	4.10432011706858e-07	3.42
Abi2	chr1	60407618	60483163	+	0.656738907598248	6.19846283336573e-07	2.40974764292599e-06	3.88765361301281	7.84638633679731e-07	2.38
Raph1	chr1	60481184	60568765	-	1.01852881565348	6.77455675687888e-07	2.99891045318511e-06	4.42672570443818	1.5424514705594e-06	3.68
Nrp2	chr1	62701316	62820692	+	0.746071038780098	8.03243370871148e-07	2.43217284636215e-06	3.02794014188298	1.09266361854641e-06	1.9
Ino80d	chr1	63045800	63116267	-	0.750085382080085	9.86489747888146e-07	3.47118270652539e-06	3.51872152139079	2.33308552641319e-06	4.52
Ndufs1	chr1	63141591	63178822	-	0.380068724107312	8.89302421573187e-07	6.59728372331057e-06	7.41849292576972	1.55659979501683e-06	3.82
Zdbf2	chr1	63198357	63316575	+	1.19736592303554	1.02734695287276e-06	3.56456384877848e-06	3.46967870864942	2.97627968108542e-06	3.36
Adam23	chr1	63443890	63598101	+	0.589665314781307	6.77708157411168e-07	2.35893407429086e-06	3.48075207372734	2.27599965480968e-06	3.64
Fastkd2	chr1	63728624	63755385	+	0.609220760971929	5.64431364807239e-07	1.60919897390433e-06	2.85100912925683	1.35626756819323e-06	3.68
Klf7	chr1	64033662	64123389	-	0.875911701895935	4.76877109821819e-07	3.70813199161773e-06	7.77586492462018	4.21517572883546e-07	2.52
Creb1	chr1	64530803	64606548	+	0.564336565570878	6.69184713382771e-07	4.43087622205937e-06	6.62130519936866	1.50053136908316e-06	2.84
Ccnyl1	chr1	64689344	64727644	+	0.532952710695117	6.02813040437545e-07	3.99643695096e-06	6.62964581532482	1.05539858749834e-06	2.62
Plekhm3	chr1	64787120	64958824	-	0.891267999712521	4.07340658299495e-07	1.65795853087542e-06	4.07020143237559	2.45967089827492e-07	3.28
Idh1	chr1	65156615	65188479	-	0.450449820942333	6.60336280062015e-07	3.35026858871262e-06	5.07357946226729	6.81900321465955e-07	4.64
Pikfyve	chr1	65184684	65280696	+	0.63686617144872	6.04150863624998e-07	3.29414837472464e-06	5.45252613719567	1.65196927032149e-06	3.06
Kansl1l	chr1	66717242	66819595	-	1.74428670780737	9.37024237392626e-07	3.49263810952711e-06	3.72737221744206	3.76221102351502e-07	2.28
Acadl	chr1	66828838	66865309	-	0.702108208758966	4.54015278992709e-07	1.22871149433374e-06	2.70632190409934	3.24103133523583e-07	2.12
Lancl1	chr1	66998516	67040872	-	0.41003471770888	4.7015535324083e-07	1.95482276925934e-06	4.15782305951542	5.0601300840967e-07	3.72
Ikzf2	chr1	69529206	69687960	-	1.11265611227892	3.03482656379217e-07	4.26650919262836e-07	1.40584942926595	6.07644841754644e-08	1.32
Spag16	chr1	69824969	70727132	+	1.63657307739587	2.95610985250439e-07	8.99350867422754e-07	3.04234589476041	4.07762288552051e-08	2.52
Bard1	chr1	71025534	71104972	-	0.695346338046055	6.76848207252484e-07	3.87138486145814e-06	5.71972389078664	2.78902829394882e-06	3.32
Atic	chr1	71555155	71581403	+	0.195244992988394	9.06762399442056e-07	3.42653117288239e-06	3.77886332184791	2.13913537918361e-06	1.98
Fn1	chr1	71583472	71655234	-	0.625681545804937	1.22772508231894e-06	5.68623535395252e-06	4.63152169475295	6.46678667338659e-06	3.98
Mreg	chr1	72157232	72214307	-	0.482410253352347	8.08042620907523e-07	3.04321875444263e-06	3.76616118469686	1.35955127769571e-06	3.5
Pecr	chr1	72257171	72286314	-	0.313836636996891	6.88937226178647e-07	2.05145654520124e-06	2.97771185421367	5.68104481301025e-07	2.22
Xrcc5	chr1	72305420	72396953	+	0.526696453574485	7.35536358467135e-07	3.86054274916212e-06	5.2486089976674	1.87992061403813e-06	1.76
Smarcal1	chr1	72581250	72638790	+	0.491478294703261	5.08810144419524e-07	3.26781402118971e-06	6.42246239983638	5.48596676998476e-07	5.24
Igfbp2	chr1	72822479	72854474	+	0.563257087896401	8.00147688679563e-07	1.79176877264826e-06	2.23929756718427	9.49514733527298e-07	3.36
Arpc2	chr1	74234549	74270213	+	0.429566007905521	8.21781129288576e-07	4.40682470177881e-06	5.36252846982972	1.41132800975915e-06	3.92
Pnkd	chr1	74283033	74355692	+	0.491634601609932	6.0210952194211e-07	2.88384508633999e-06	4.78956897582041	2.40933282169872e-07	0.84
Vil1	chr1	74407383	74437560	+	0.707694756273019	5.0686811290678e-07	5.79091625168226e-07	1.14248975309822	1.2196309419604e-08	1.92
Cnot9	chr1	74504059	74532842	+	0.384234687434431	1.00430433291775e-06	6.39585463884377e-06	6.36844274111837	1.73385492694482e-06	2.7
Plcd4	chr1	74540888	74567977	+	0.709105834575884	4.48532152231957e-07	4.71073631315515e-07	1.05025610532353	2.52712501104127e-08	2.3
Stk36	chr1	74599454	74638894	+	0.583708726504892	3.79789229096861e-07	2.7112620102528e-06	7.13885966882258	1.70874619309348e-07	3.88
Ttll4	chr1	74659753	74699973	+	0.411376587528182	6.74860334339009e-07	1.90888815115742e-06	2.82856771101694	2.54383592267436e-06	2.8
Nhej1	chr1	74965345	75127226	-	0.646451541253607	2.27529483612944e-07	3.48493422012474e-06	15.3164071960584	7.50600105945263e-08	1.28
Epha4	chr1	77365184	77517088	-	0.711073776485395	4.33174365257456e-07	1.3180990240539e-06	3.04288325850144	3.87450977664157e-07	4.18
Farsb	chr1	78415957	78490897	-	0.500325343012632	7.61045395295746e-07	3.97831864408125e-06	5.22743934681486	1.87091352029963e-06	3.52
Acsl3	chr1	78655824	78709743	+	0.773959190545266	7.15995622643547e-07	5.04420496339422e-06	7.04502206978637	1.43289380025592e-06	2.8
Ap1s3	chr1	79604875	79673972	-	0.704730971813844	3.99992609643276e-07	2.40595290362238e-06	6.01499339142309	3.23279632509353e-07	2.42
Wdfy1	chr1	79700261	79763769	-	0.376541089516395	3.61673887107631e-07	1.94463717337329e-06	5.3767696333426	1.17887359836515e-06	3.02
Serpine2	chr1	79792320	79860665	-	0.919591987343024	3.70474921383327e-07	1.63878596112806e-06	4.42347340275814	3.77985439600646e-07	3.18
Cul3	chr1	80262922	80342690	-	0.632345438608698	7.49679279448865e-07	2.78624150996366e-06	3.71657799054016	2.49278166569223e-06	3.52
Rhbdd1	chr1	82314578	82447366	+	0.846764792226133	3.69038399983266e-07	3.77192614664708e-06	10.220958433643	5.62191154540134e-07	2.98
Mff	chr1	82722889	82754390	+	0.443464429937927	6.11830803903895e-07	2.11179919331246e-06	3.45160652232243	1.92723545722486e-06	3.36
Agfg1	chr1	82837459	82903001	+	0.480709763268414	8.84536651545312e-07	3.12772733362958e-06	3.53600648222473	3.30228952577012e-06	3.6
Pid1	chr1	84034292	84286645	-	0.643986997249297	3.89591978000217e-07	1.68320867318074e-06	4.32043976321248	8.39080759339366e-07	3.48
Trip12	chr1	84719188	84841304	-	0.786835671492798	1.35981292473551e-06	5.20757224402979e-06	3.82962402349771	6.45012975926968e-06	9.66
Fbxo36	chr1	84837840	84902486	+	0.911869710343712	9.00639958073242e-07	5.28677417786389e-06	5.87001956827898	8.60156239806814e-08	2.72
Slc16a14	chr1	84904704	84937083	-	0.61615528346573	4.19524662641243e-07	8.07367220423751e-07	1.92448094789167	7.10994710285107e-08	0.54
C130026I21Rik	chr1	85244343	85272566	-	0.827232483832224	1.59772697847312e-06	1.73208264094699e-06	1.0840917530242	8.08534216411989e-08	2.86
Cab39	chr1	85791446	85853577	+	0.534796621966993	6.40302724887478e-07	3.03802651988494e-06	4.7446721711497	1.39065273513172e-06	3.2
Psmd1	chr1	86062618	86141295	+	0.450500202813697	7.49683630013821e-07	2.57214512312712e-06	3.43097410714397	1.48233066152844e-06	3.14
Armc9	chr1	86152779	86280284	+	0.303246557735666	5.24297933278475e-07	4.07030229108025e-06	7.76333842406805	3.15894828827287e-07	3.52
Dis3l2	chr1	86701803	87052097	+	1.04362961494021	4.02154187195349e-07	2.18418257574447e-06	5.43120684873906	3.26769434396501e-07	3.16
Eif4e2	chr1	87211913	87242488	+	0.374160320251386	1.13035497353563e-06	4.35438481629928e-06	3.8522277676005	2.0680260283312e-06	4.78
Gigyf2	chr1	87324997	87452810	+	0.611395543346604	8.09352303158677e-07	3.45817217177017e-06	4.27276497302088	2.39619483746352e-06	3.48
Atg16l1	chr1	87754010	87794428	+	0.494267058989106	7.73215965630226e-07	3.0449594820822e-06	3.93804527768686	3.3512407009153e-06	3.74
Dgkd	chr1	87851286	87946489	+	0.465353079438828	5.26958927310307e-07	2.61830856281936e-06	4.96871468936617	9.47165324712266e-07	2.7
Usp40	chr1	87943120	88010551	-	0.521525558199491	5.0997133916799e-07	1.6125660183883e-06	3.16207185489909	5.69102326259812e-07	3.74
Ugt1a9	chr1	88068778	88222002	+	0.517519171073643	4.33446411131788e-07	4.59376129380214e-07	1.05982220081306	1.64941508189685e-08	0.6
Sh3bp4	chr1	89068461	89155793	+	0.382910154350585	1.22108828152998e-06	4.68320333759546e-06	3.83527006886642	1.84777300250764e-06	2.68
Agap1	chr1	89452810	89897282	+	0.463752142849797	5.2798559304252e-07	3.28159548315006e-06	6.21531255093505	7.89803165080038e-07	6.88
Lrrfip1	chr1	90996726	91130944	+	0.552957335696129	5.34135122882565e-07	1.15655693349205e-06	2.16528905129935	7.38468162809712e-07	3.56
Rbm44	chr1	91143102	91172795	+	1.22920325153071	4.41089002521828e-07	1.42685799675073e-06	3.23485280429344	1.41219945520932e-07	3.98
Ube2f	chr1	91248318	91288025	+	0.503707468741397	5.8091455214361e-07	4.60377258217104e-06	7.92504261630706	8.23681258843018e-07	3.28
Scly	chr1	91296337	91323080	+	0.488830525145125	4.98610194376038e-07	2.52512629379559e-06	5.06432945470668	4.95418197582378e-07	2.32
Ilkap	chr1	91373830	91400783	-	0.256234223611187	7.84921716483192e-07	3.07388995289597e-06	3.91617391689505	1.77777532819508e-06	3.36
Traf3ip1	chr1	91492667	91531307	+	0.377734900443125	5.02083657400946e-07	2.50854984132708e-06	4.99627861681991	6.90260435048881e-07	2.92
Hdac4	chr1	91926778	92182341	-	0.355664213633536	6.40035464658446e-07	4.27096044834193e-06	6.67300592572807	1.74964461665418e-06	3
Ndufa10	chr1	92437707	92475758	-	0.351164563839255	6.3619192917573e-07	3.30259324297113e-06	5.19119009769595	1.06107677506342e-06	2.92
Gpc1	chr1	92829685	92862196	+	0.316890940096966	4.74014637695222e-07	2.45297173295391e-06	5.17488604335274	5.88548549125309e-07	2.68
Kif1a	chr1	93013454	93103874	-	0.461865165525924	3.30624423016467e-07	5.62515172699717e-07	1.70137211149613	6.73254215588499e-08	1.3
Sned1	chr1	93233896	93298448	+	0.460871921283811	4.49849144519391e-07	1.7725962029009e-06	3.9404236386727	2.00809164096281e-07	2.78
Pask	chr1	93307436	93344788	-	0.385136059818479	5.14059833853979e-07	1.73173940856151e-06	3.36875066775479	9.34515454590625e-07	2.74
Ppp1r7	chr1	93341644	93369618	+	0.507923747860338	6.32969251699372e-07	2.8898082481028e-06	4.56547966642037	8.62348755481496e-07	0.74
Hdlbp	chr1	93403939	93480917	-	0.421424937674661	7.84392967165409e-07	5.59154117887951e-06	7.12849478888863	2.02075280669308e-06	2.98
Sept2	chr1	93476992	93511733	+	0.47313193195336	7.96867776581353e-07	5.34181018062227e-06	6.70350883497787	2.25213966600329e-06	3.7
Farp2	chr1	93510103	93623976	+	0.55492549716848	4.50106719467027e-07	3.04918191620544e-06	6.77435324630565	1.66250876434562e-07	2.18
Thap4	chr1	93703390	93756838	-	0.481470655114163	5.42109180698968e-07	2.17031665134997e-06	4.00346780431144	5.69522384527523e-07	5.56
Atg4b	chr1	93753032	93791529	+	0.499409551553984	6.40137018984198e-07	2.0537393784556e-06	3.20828091103773	6.23350401826173e-07	2.54
D2hgdh	chr1	93823239	93854361	+	0.527325997816152	3.3716763699646e-07	5.23790021009764e-06	15.535002875002	4.71306918522632e-07	0.7
Ppip5k2	chr1	97704042	97772092	-	0.516462341406039	5.66594385382408e-07	3.69760316334619e-06	6.52601448009512	1.51639003071892e-06	3.5
Gin1	chr1	97768171	97795708	+	1.48614042806802	4.20978429644366e-07	3.6227380744305e-06	8.60551947398092	2.23778389407964e-07	2.22
Pam	chr1	97819093	98097632	-	0.766497770706092	3.64390582188749e-07	1.70086933687885e-06	4.66770937564414	2.49913431757285e-07	1.96
Rnf152	chr1	105274916	105358710	-	0.72021160022165	3.63996166446484e-07	8.70534807404143e-07	2.39160432897617	1.44615337428648e-07	2.26
Pign	chr1	105516421	105665676	-	1.10903656985274	4.51287606856697e-07	3.18330544200276e-06	7.05382863087041	9.87452200880108e-07	4.42
2310035C23Rik	chr1	105661860	105757131	+	0.695230568816153	5.96254245694408e-07	3.22501762598143e-06	5.40879607863508	1.78380992988116e-06	3.44
Zcchc2	chr1	105988405	106036077	+	0.505538165430632	6.26182200549846e-07	2.90119246601362e-06	4.63314425652167	9.44012749223445e-07	2.56
Phlpp1	chr1	106169868	106396245	+	0.776322876391493	4.23266237468993e-07	1.66024136412978e-06	3.92245167972181	5.7107117712472e-07	2.54
Bcl2	chr1	106536175	106716290	-	0.779669226492093	3.41174733690482e-07	1.43998294230111e-06	4.22066114546302	7.45280610237553e-08	2.82
Kdsr	chr1	106718409	106761742	-	0.568087904397864	5.84476675363868e-07	4.75501466605167e-06	8.1355079962625	1.34200905865908e-06	3.54
Vps4b	chr1	106768787	106798725	-	0.455448954849249	6.97173135974487e-07	3.93281172079897e-06	5.64108328026984	2.89986660429841e-06	3.2
Clasp1	chr1	118387057	118611462	+	0.567942830618791	6.35874327630019e-07	5.14700077432824e-06	8.09436794454611	8.33679028672312e-07	3.14
Tfcp2l1	chr1	118625944	118687168	+	0.413754542907876	1.54581203909161e-06	5.9140533060274e-06	3.82585537987061	5.84184781255587e-06	7.14
Gli2	chr1	118832060	119055619	-	0.635388805681795	5.03471806780509e-07	2.01396679534581e-06	4.00015803908521	5.44036763845084e-07	2.54
